reason,source_doc,reference_page,raw_office,payee,description,amount,detail
duplicate_rows_advisory,112sdoc10,55,APPROPRIATIONS,,PROFESSIONAL STAFF MEMBER,"79,999.92",appears 2x on same page
duplicate_rows_advisory,112sdoc10,55,APPROPRIATIONS,,PROFESSIONAL STAFF MEMBER,"69,999.96",appears 2x on same page
duplicate_rows_advisory,112sdoc10,56,APPROPRIATIONS,,PROFESSIONAL STAFF MEMBER,"45,000.00",appears 2x on same page
duplicate_rows_advisory,112sdoc10,56,APPROPRIATIONS,,PROFESSIONAL STAFF MEMBER,"83,749.92",appears 5x on same page
duplicate_rows_advisory,112sdoc10,56,APPROPRIATIONS,,STAFF ASSISTANT,"20,499.96",appears 3x on same page
duplicate_rows_advisory,112sdoc10,56,APPROPRIATIONS,,PROFESSIONAL STAFF MEMBER,"85,249.92",appears 2x on same page
duplicate_rows_advisory,112sdoc10,79,OFFICE OF THE VICE PRESIDENT (D) - BIDEN,,DEPUTY COUNSEL TO THE VICE PRESIDENT AND DEPUTY ASSISTANT TO THE VICE PRESIDENT,"54,999.96",appears 2x on same page
duplicate_rows_advisory,112sdoc10,86,MINORITY LEADER (R),,STAFF ASSISTANT FROM APR. 16,"16,041.63",appears 2x on same page
duplicate_rows_advisory,112sdoc10,104,SECRETARY FOR THE MINORITY (R),,CLOAKROOM ASSISTANT,"22,500.00",appears 2x on same page
duplicate_rows_advisory,112sdoc10,104,SECRETARY FOR THE MINORITY (R),,PAGE COORDINATOR FROM JUN. 7 TO AUG. 3,"5,541.64",appears 2x on same page
duplicate_rows_advisory,112sdoc10,120,SGT @ ARMS - CENTRAL OPERATIONS,,MAIL CARRIER,"16,467.40",appears 2x on same page
duplicate_rows_advisory,112sdoc10,120,SGT @ ARMS - CENTRAL OPERATIONS,,PRINTING & REPROGRAPHICS SPECIALIST,"25,079.40",appears 2x on same page
duplicate_rows_advisory,112sdoc10,122,SGT @ ARMS - CAPITOL DIVISION,,DOORKEEPER,"19,620.44",appears 2x on same page
duplicate_rows_advisory,112sdoc10,125,SGT @ ARMS - CAPITOL DIVISION,,DOORKEEPER FROM MAY. 21 TO AUG. 3,"7,105.08",appears 2x on same page
duplicate_rows_advisory,112sdoc10,125,SGT @ ARMS - CAPITOL DIVISION,,PAGE TO JUN. 8,"4,836.47",appears 28x on same page
duplicate_rows_advisory,112sdoc10,126,SGT @ ARMS - CAPITOL DIVISION,,PAGE FROM JUN. 11 TO JUN. 29,"1,351.36",appears 43x on same page
duplicate_rows_advisory,112sdoc10,126,SGT @ ARMS - CAPITOL DIVISION,,PAGE FROM JUL. 9 TO AUG. 3,"1,778.11",appears 17x on same page
