Parsed from U.S. Senate disbursement reports (govinfo.gov). See README.md for methodology and known limitations.
source_doc,senator_flag,senator_name,bioguide_id,raw_office,funding_year,fiscal_year,congress_number,reference_page,document_number,date_posted,start_date,end_date,description,salary_flag,amount,payee,validation_status,category
112sdoc4,0,,,MAJORITY LEADER (D),2011,,112,25,DDOF21100563,,05/05/2011,05/05/2011,OTHER MISCELLANEOUS SERVICES,0,150.00,,ok,OTHER CONTRACTUAL SERVICES
112sdoc4,0,,,OFFICE OF THE VICE PRESIDENT (D) - BIDEN,2011,,112,31,DDOF21100784,,06/30/2011,06/30/2011,OTHER MISCELLANEOUS SERVICES,0,168.00,,ok,OTHER CONTRACTUAL SERVICES
112sdoc4,0,,,MINORITY LEADER (R),2011,,112,38,DDOF21100470,,01/25/2011,01/25/2011,OTHER MISCELLANEOUS SERVICES,0,175.00,,ok,OTHER CONTRACTUAL SERVICES
112sdoc4,0,,,APPROPRIATIONS,2011,,112,57,,,,,PROFESSIONAL STAFF TO JUL. 8,0,"45,597.17",,unchecked,
112sdoc4,0,,,APPROPRIATIONS,2011,,112,57,,,,,PROFESSIONAL STAFF MEMBER,0,"44,000.00",,unchecked,
112sdoc4,0,,,APPROPRIATIONS,2011,,112,57,,,,,PROFESSIONAL STAFF,0,"84,249.96",,unchecked,
112sdoc4,0,,,APPROPRIATIONS,2011,,112,57,,,,,PROFESSIONAL STAFF MEMBER,0,"37,333.28",,unchecked,
112sdoc4,0,,,APPROPRIATIONS,2011,,112,57,,,,,PROFESSIONAL STAFF MEMBER,0,"31,833.32",,unchecked,
112sdoc4,0,,,APPROPRIATIONS,2011,,112,57,,,,,PROFESSIONAL STAFF,0,"56,499.96",,unchecked,
112sdoc4,0,,,APPROPRIATIONS,2011,,112,57,,,,,PROFESSIONAL STAFF MEMBER,0,"49,499.96",,unchecked,
112sdoc4,0,,,APPROPRIATIONS,2011,,112,57,,,,,PROFESSIONAL STAFF MEMBER,0,"85,500.00",,unchecked,
112sdoc4,0,,,APPROPRIATIONS,2011,,112,57,,,,,PROFESSIONAL STAFF MEMBER,0,"69,750.00",,unchecked,
112sdoc4,0,,,APPROPRIATIONS,2011,,112,57,,,,,PROFESSIONAL STAFF MEMBER FROM AUG. 29,0,"7,822.20",,unchecked,
112sdoc4,0,,,APPROPRIATIONS,2011,,112,57,,,,,PROFESSIONAL STAFF MEMBER,0,"71,250.00",,unchecked,
112sdoc4,0,,,APPROPRIATIONS,2011,,112,57,,,,,PROFESSIONAL STAFF MEMBER,0,"70,249.92",,unchecked,
112sdoc4,0,,,APPROPRIATIONS,2011,,112,57,,,,,PROFESSIONAL STAFF MEMBER,0,"73,833.32",,unchecked,
112sdoc4,0,,,APPROPRIATIONS,2011,,112,57,,,,,PROFESSIONAL STAFF,0,"82,500.00",,unchecked,
112sdoc4,0,,,APPROPRIATIONS,2011,,112,57,,,,,PROFESSIONAL STAFF MEMBER,0,"80,749.92",,unchecked,
112sdoc4,0,,,APPROPRIATIONS,2011,,112,57,,,,,PROFESSIONAL STAFF MEMBER TO JUN. 12,0,"29,400.00",,unchecked,
112sdoc4,0,,,APPROPRIATIONS,2011,,112,57,,,,,PROFESSIONAL STAFF MEMBER,0,"33,187.50",,unchecked,
112sdoc4,0,,,APPROPRIATIONS,2011,,112,57,,,,,PROFESSIONAL STAFF MEMBER,0,"84,000.00",,unchecked,
112sdoc4,0,,,APPROPRIATIONS,2011,,112,57,,,,,PROFESSIONAL STAFF MEMBER,0,"59,000.00",,unchecked,
112sdoc4,0,,,APPROPRIATIONS,2011,,112,57,,,,,CHIEF CLERK,0,"85,500.00",,unchecked,
112sdoc4,0,,,APPROPRIATIONS,2011,,112,57,,,,,PROFESSIONAL STAFF MEMBER,0,"67,999.92",,unchecked,
112sdoc4,0,,,APPROPRIATIONS,2011,,112,57,,,,,PROFESSIONAL STAFF MEMBER,0,"76,999.92",,unchecked,
112sdoc4,0,,,APPROPRIATIONS,2011,,112,57,,,,,STAFF ASSISTANT,0,"40,999.92",,unchecked,
112sdoc4,0,,,APPROPRIATIONS,2011,,112,57,,,,,PROFESSIONAL STAFF MEMBER,0,"79,999.92",,unchecked,
112sdoc4,0,,,APPROPRIATIONS,2011,,112,57,,,,,PROFESSIONAL STAFF MEMBER,0,"84,999.96",,unchecked,
112sdoc4,0,,,APPROPRIATIONS,2011,,112,57,,,,,PROFESSIONAL STAFF MEMBER,0,"83,999.92",,unchecked,
112sdoc4,0,,,APPROPRIATIONS,2011,,112,57,,,,,PROFESSIONAL STAFF MEMBER,0,"48,000.00",,unchecked,
112sdoc4,0,,,APPROPRIATIONS,2011,,112,57,,,,,PROFESSIONAL STAFF MEMBER,0,"79,999.92",,unchecked,
112sdoc4,0,,,APPROPRIATIONS,2011,,112,57,,,,,PROFESSIONAL STAFF MEMBER,0,"61,749.96",,unchecked,
112sdoc4,0,,,APPROPRIATIONS,2011,,112,57,,,,,PROFESSIONAL STAFF MEMBER,0,"70,500.00",,unchecked,
112sdoc4,0,,,APPROPRIATIONS,2011,,112,57,,,,,PROFESSIONAL STAFF MEMBER,0,"69,166.60",,unchecked,
112sdoc4,0,,,APPROPRIATIONS,2011,,112,57,,,,,PROFESSIONAL STAFF MEMBER,0,"51,166.60",,unchecked,
112sdoc4,0,,,APPROPRIATIONS,2011,,112,57,,,,,PROFESSIONAL STAFF MEMBER,0,"51,499.92",,unchecked,
112sdoc4,0,,,APPROPRIATIONS,2011,,112,57,,,,,STAFF ASSISTANT,0,"19,499.96",,unchecked,
112sdoc4,0,,,APPROPRIATIONS,2011,,112,57,,,,,PROFESSIONAL STAFF FROM JUN. 20,0,"22,444.42",,unchecked,
112sdoc4,0,,,APPROPRIATIONS,2011,,112,57,,,,,PROFESSIONAL STAFF MEMBER,0,"72,249.96",,unchecked,
112sdoc4,0,,,APPROPRIATIONS,2011,,112,58,,,,,PROFESSIONAL STAFF MEMBER,0,"84,249.96",,unchecked,
